case,arm,seed,t_sec,best
A funnel,B0,42,5.949,31.0000
A funnel,B0,42,5.990,31.0000
A funnel,B0,42,6.029,31.0000
A funnel,B0,42,6.065,31.0000
A funnel,B0,42,6.102,31.0000
A funnel,B0,42,6.143,31.0000
A funnel,B0,42,6.183,31.0000
A funnel,B0,42,6.223,31.0000
A funnel,B0,42,6.264,31.0000
A funnel,B0,42,6.306,31.0000
A funnel,B0,42,6.343,31.0000
A funnel,B0,42,6.379,31.0000
A funnel,B0,42,6.416,31.0000
A funnel,B0,42,6.454,31.0000
A funnel,B0,42,6.494,31.0000
A funnel,B0,42,6.530,31.0000
A funnel,B0,42,6.567,31.0000
A funnel,B0,42,6.606,31.0000
A funnel,B0,42,6.649,31.0000
A funnel,B0,42,6.688,31.0000
A funnel,B0,42,6.728,31.0000
A funnel,B0,42,6.769,31.0000
A funnel,B0,42,6.815,31.0000
A funnel,B0,42,6.853,31.0000
A funnel,B0,42,6.892,31.0000
A funnel,B0,42,6.932,31.0000
A funnel,B0,42,6.976,31.0000
A funnel,B0,42,7.016,31.0000
A funnel,B0,42,7.060,31.0000
A funnel,B0,42,7.101,31.0000
A funnel,B0,42,7.142,31.0000
A funnel,B0,42,7.185,31.0000
A funnel,B0,42,7.224,31.0000
A funnel,B0,42,7.266,31.0000
A funnel,B0,42,7.305,31.0000
A funnel,B0,42,7.350,31.0000
A funnel,B0,42,7.391,31.0000
A funnel,B0,42,7.432,31.0000
A funnel,B0,42,7.475,31.0000
A funnel,B0,42,7.522,31.0000
A funnel,B0,42,7.560,31.0000
A funnel,B0,42,7.600,31.0000
A funnel,B0,42,7.638,31.0000
A funnel,B0,42,7.678,31.0000
A funnel,B0,42,7.722,31.0000
A funnel,B0,42,7.764,31.0000
A funnel,B0,42,7.802,31.0000
A funnel,B0,42,7.840,31.0000
A funnel,B0,42,7.884,31.0000
A funnel,B0,42,7.922,31.0000
A funnel,B0,42,7.964,31.0000
A funnel,B0,42,8.005,31.0000
A funnel,B0,42,8.050,31.0000
A funnel,B0,42,8.091,31.0000
A funnel,B0,42,8.130,31.0000
A funnel,B0,42,8.171,31.0000
A funnel,B0,42,8.216,31.0000
A funnel,B0,42,8.259,31.0000
A funnel,B0,42,8.299,31.0000
A funnel,B0,42,8.342,31.0000
A funnel,B0,42,8.383,31.0000
A funnel,B0,42,8.424,31.0000
A funnel,B0,42,8.464,31.0000
A funnel,B0,42,8.500,31.0000
A funnel,B0,42,8.540,31.0000
A funnel,B0,42,8.583,31.0000
A funnel,B0,42,8.625,31.0000
A funnel,B0,42,8.666,31.0000
A funnel,B0,42,8.707,31.0000
A funnel,B0,42,8.757,31.0000
A funnel,B0,42,8.800,31.0000
A funnel,B0,42,8.841,31.0000
A funnel,B0,42,8.882,31.0000
A funnel,B0,42,8.928,31.0000
A funnel,B0,42,8.969,31.0000
A funnel,B0,42,9.008,31.0000
A funnel,B0,42,9.050,31.0000
A funnel,B0,42,9.094,31.0000
A funnel,B0,42,9.137,31.0000
A funnel,B0,42,9.176,31.0000
A funnel,B0,42,9.216,31.0000
A funnel,B0,42,9.257,31.0000
A funnel,B0,42,9.299,31.0000
A funnel,B0,42,9.343,31.0000
A funnel,B0,42,9.384,31.0000
A funnel,B0,42,9.427,31.0000
A funnel,B0,42,9.475,31.0000
A funnel,B0,42,9.520,31.0000
A funnel,B0,42,9.559,31.0000
A funnel,B0,42,9.604,31.0000
A funnel,B0,42,9.644,31.0000
A funnel,B0,42,9.692,31.0000
A funnel,B0,42,9.737,31.0000
A funnel,B0,42,9.779,31.0000
A funnel,B0,42,9.821,31.0000
A funnel,B0,42,9.866,31.0000
A funnel,B0,42,9.905,31.0000
A funnel,B0,42,9.945,31.0000
A funnel,B0,42,9.984,31.0000
A funnel,B0,42,10.027,31.0000
A funnel,B0,42,10.066,31.0000
A funnel,B0,42,10.106,31.0000
A funnel,B0,42,10.149,31.0000
A funnel,B0,42,10.193,31.0000
A funnel,B0,42,10.235,31.0000
A funnel,B0,42,10.275,31.0000
A funnel,B0,42,10.315,31.0000
A funnel,B0,42,10.358,31.0000
A funnel,B0,42,10.402,31.0000
A funnel,B0,42,10.441,31.0000
A funnel,B0,42,10.485,31.0000
A funnel,B0,42,10.526,31.0000
A funnel,B0,42,10.570,31.0000
A funnel,B0,42,10.613,31.0000
A funnel,B0,42,10.652,31.0000
A funnel,B0,42,10.693,31.0000
A funnel,B0,42,10.739,31.0000
A funnel,B0,42,10.786,31.0000
A funnel,B0,42,10.825,31.0000
A funnel,B0,42,10.867,31.0000
A funnel,B0,42,10.910,31.0000
A funnel,B0,42,10.952,31.0000
A funnel,B0,42,10.992,31.0000
A funnel,B0,42,11.035,31.0000
A funnel,B0,42,11.077,31.0000
A funnel,B0,42,11.123,31.0000
A funnel,B0,42,11.164,31.0000
A funnel,B0,42,11.206,31.0000
A funnel,B0,42,11.246,31.0000
A funnel,B0,42,11.288,31.0000
A funnel,B0,42,11.327,31.0000
A funnel,B0,42,11.370,31.0000
A funnel,B0,42,11.408,31.0000
A funnel,B0,42,11.451,31.0000
A funnel,B0,42,11.493,31.0000
A funnel,B0,42,11.535,31.0000
A funnel,B0,42,11.576,31.0000
A funnel,B0,42,11.626,31.0000
A funnel,B0,42,11.669,31.0000
A funnel,B0,42,11.712,31.0000
A funnel,B0,42,11.753,31.0000
A funnel,B0,42,11.795,31.0000
A funnel,B0,42,11.841,31.0000
A funnel,B0,42,11.881,31.0000
A funnel,B0,42,11.920,31.0000
A funnel,B0,42,11.956,31.0000
A funnel,B0,42,11.999,31.0000
A funnel,B0,42,12.039,31.0000
A funnel,B0,42,12.081,31.0000
A funnel,B0,42,12.121,31.0000
A funnel,B0,42,12.168,31.0000
A funnel,B0,42,12.208,31.0000
A funnel,B0,42,12.249,31.0000
A funnel,B0,42,12.290,31.0000
A funnel,B0,42,12.334,31.0000
A funnel,B0,42,12.373,31.0000
A funnel,B0,42,12.411,31.0000
A funnel,B0,42,12.452,31.0000
A funnel,B0,42,12.486,31.0000
A funnel,B0,42,12.524,31.0000
A funnel,B0,42,12.559,31.0000
A funnel,B0,42,12.594,31.0000
A funnel,B0,42,12.629,31.0000
A funnel,B0,42,12.667,31.0000
A funnel,B0,42,12.706,31.0000
A funnel,B0,42,12.743,31.0000
A funnel,B0,42,12.781,31.0000
A funnel,B0,42,12.822,31.0000
A funnel,B0,42,12.860,31.0000
A funnel,B0,42,12.897,31.0000
A funnel,B0,42,12.932,31.0000
A funnel,B0,42,12.972,31.0000
A funnel,B0,42,13.007,31.0000
A funnel,B0,42,13.043,31.0000
A funnel,B0,42,13.079,31.0000
A funnel,B0,42,13.116,31.0000
A funnel,B0,42,13.155,31.0000
A funnel,B0,42,13.191,31.0000
A funnel,B0,42,13.227,31.0000
A funnel,B0,42,13.263,31.0000
A funnel,B0,42,13.302,31.0000
A funnel,B0,42,13.338,31.0000
A funnel,B0,42,13.373,31.0000
A funnel,B0,42,13.409,31.0000
A funnel,B0,42,13.448,31.0000
A funnel,B0,42,13.484,31.0000
A funnel,B0,42,13.518,31.0000
A funnel,B0,42,13.555,31.0000
A funnel,B0,42,13.591,31.0000
A funnel,B0,42,13.630,31.0000
A funnel,B0,42,13.668,31.0000
A funnel,B0,42,13.705,31.0000
A funnel,B0,42,13.743,31.0000
A funnel,B0,42,13.786,31.0000
A funnel,B0,42,13.819,31.0000
A funnel,B0,42,13.855,31.0000
A funnel,B0,42,13.890,31.0000
A funnel,B0,42,13.929,31.0000
A funnel,B0,42,13.963,31.0000
A funnel,B0,42,13.999,31.0000
A funnel,B0,42,14.034,31.0000
A funnel,B0,42,14.072,31.0000
A funnel,B0,42,14.108,31.0000
A funnel,B0,42,14.144,31.0000
A funnel,B0,42,14.181,31.0000
A funnel,B0,42,14.219,31.0000
A funnel,B0,42,14.258,31.0000
A funnel,B0,42,14.293,31.0000
A funnel,B0,42,14.329,31.0000
A funnel,B0,42,14.364,31.0000
A funnel,B0,42,14.402,31.0000
A funnel,B0,42,14.438,31.0000
A funnel,B0,42,14.473,31.0000
A funnel,B0,42,14.509,31.0000
A funnel,B0,42,14.550,31.0000
A funnel,B0,42,14.586,31.0000
A funnel,B0,42,14.623,31.0000
A funnel,B0,42,14.661,31.0000
A funnel,B0,42,14.705,31.0000
A funnel,B0,42,14.742,31.0000
A funnel,B0,42,14.778,31.0000
A funnel,B0,42,14.813,31.0000
A funnel,B0,42,14.848,31.0000
A funnel,B0,42,14.888,31.0000
A funnel,B0,42,14.923,31.0000
A funnel,B0,42,14.960,31.0000
A funnel,B0,42,14.995,31.0000
A funnel,B0,42,15.034,31.0000
A funnel,B0,42,15.071,31.0000
A funnel,B0,42,15.107,31.0000
A funnel,B0,42,15.143,31.0000
A funnel,B0,42,15.183,31.0000
A funnel,B0,42,15.217,31.0000
A funnel,B0,42,15.253,31.0000
A funnel,B0,42,15.290,31.0000
A funnel,B0,42,15.326,31.0000
A funnel,B0,42,15.363,31.0000
A funnel,B0,42,15.399,31.0000
A funnel,B0,42,15.436,31.0000
A funnel,B0,42,15.472,31.0000
A funnel,B0,42,15.511,31.0000
A funnel,B0,42,15.548,31.0000
