method,seq_fpr,arl0
butla,0.005905511811023624,152.33333333333334
tabor,0.005905511811023624,157.66666666666666
hsmm,0.007874015748031494,114.75
markov,0.007874015748031494,82.5
ours,0.003937007874015747,217.5
