kind,name,n,hard,time,struct,a3_dr
native,A,69,0.0,0.0,0.014492753623188406,0.46153846153846156
native,B,90,0.0,0.0,0.011111111111111112,0.5555555555555556
native,C,69,0.0,0.0,0.014492753623188406,0.3076923076923077
transfer,A->B,90,0.0,0.0,0.0,0.05555555555555555
transfer,A->C,69,0.0,0.10144927536231885,0.0,0.38461538461538464
transfer,B->A,69,0.0,0.4927536231884058,0.0,0.6923076923076923
