k,sigma,rho_star,single_dr,cusum_dr
0.5,0.11989047775216846,0.24338970355217793,0.8181818181818182,1.0
1.0,0.23978095550433692,0.42754085930913877,0.5160839160839161,0.9433962264150944
1.5,0.3596714332565054,0.566871519857622,0.3006993006993007,0.8490566037735849
2.0,0.47956191100867385,0.6722905322394808,0.2153846153846154,0.4528301886792453
3.0,0.7193428665130108,0.8123997196895537,0.08531468531468532,0.2830188679245283
4.0,0.9591238220173477,0.8926065047401172,0.046153846153846156,0.20754716981132076
