stat,value,n_seq
median_us,73.29999999994286,
p95_us,109.14000000021846,
p99_us,169.61600000010344,
M1_median_us,71.24999999996717,15
M10_median_us,68.65000000000343,150
M50_median_us,69.60000000022504,750
M100_median_us,69.29999999982783,1500
