instance,seed,mode,n_seeds,n_closure,n_T_impact,closure_frac,pass_C1,R1_feasible,R2_feasible,ref_makespan
congested_8x4x4,1,lu_far,16,52,0,0.5778,True,False,True,233.5238095238094
congested_8x4x4,777,lu_far,14,47,0,0.5802,True,False,True,224.36190476190464
congested_8x4x4,31415,lu_far,16,47,0,0.5465,True,False,True,247.08571428571418
congested_8x4x4,8,lu_far,16,53,0,0.5955,True,False,True,232.72380952380942
S8x4x4_high,42,lu_far,14,78,0,0.5342,True,False,True,144.95555555555555
S8x4x4_high,7,lu_far,17,85,0,0.5986,True,False,True,165.71111111111114
S8x4x4_high,2024,lu_far,18,90,0,0.5769,True,False,True,162.6888888888889
S8x4x4_high,99,lu_far,14,83,0,0.5724,True,False,True,163.99999999999997
S8x4x4_high,123,lu_far,15,85,0,0.6028,True,False,True,150.3111111111111
S8x4x4_high,13,lu_far,13,81,0,0.6231,True,False,True,133.84444444444443
S8x4x4_high,1,lu_far,14,76,0,0.5938,True,False,True,150.60000000000005
S8x4x4_high,777,lu_far,16,90,0,0.5882,True,False,True,165.35555555555553
S8x4x4_high,31415,lu_far,12,64,0,0.4604,True,False,True,151.17777777777772
S8x4x4_high,8,lu_far,14,78,0,0.5417,True,False,True,155.55555555555551
S8x4x4_funnel,42,lu_far,14,78,0,0.5342,True,False,True,146.08888888888887
S8x4x4_funnel,7,lu_far,19,87,0,0.5959,True,False,True,167.75555555555556
S8x4x4_funnel,2024,lu_far,14,99,0,0.66,True,False,True,164.39999999999995
S8x4x4_funnel,99,lu_far,14,83,0,0.5724,True,False,True,165.1333333333333
S8x4x4_funnel,123,lu_far,14,79,0,0.5603,True,False,True,160.91111111111113
S8x4x4_funnel,13,lu_far,16,86,0,0.6515,True,False,True,152.24444444444438
S8x4x4_funnel,1,lu_far,16,74,0,0.5781,True,False,True,152.71111111111114
S8x4x4_funnel,777,lu_far,14,83,0,0.5764,True,False,True,160.44444444444449
S8x4x4_funnel,31415,lu_far,14,74,0,0.5401,True,False,True,153.02222222222215
S8x4x4_funnel,8,lu_far,14,85,0,0.5986,True,False,True,159.31111111111105
S8x4x4_mid,42,lu_far,15,78,0,0.5652,True,False,True,137.28888888888886
S8x4x4_mid,7,lu_far,16,83,0,0.5321,True,False,True,160.9777777777778
S8x4x4_mid,2024,lu_far,19,86,0,0.5342,True,False,True,145.88888888888889
S8x4x4_mid,99,lu_far,14,81,0,0.5745,True,False,True,145.64444444444442
S8x4x4_mid,123,lu_far,14,80,0,0.5634,True,False,True,140.66666666666666
S8x4x4_mid,13,lu_far,14,76,0,0.5588,True,False,True,136.97777777777776
S8x4x4_mid,1,lu_far,16,91,0,0.5987,True,False,True,147.73333333333332
S8x4x4_mid,777,lu_far,13,86,0,0.5811,True,False,True,140.44444444444449
S8x4x4_mid,31415,lu_far,13,80,0,0.5479,True,False,True,145.91111111111107
S8x4x4_mid,8,lu_far,14,78,0,0.5379,True,False,True,151.95555555555555
example_3x3x2,42,split,6,18,0,0.6,True,False,True,56.0
example_3x3x2,7,split,8,23,0,0.7188,True,False,True,70.0
