instance,seed,arm,feasible,makespan,makespan_ref,wall_ms,res_frac,past_changed,past_total,release_size,alive_size,delta,esc_rounds,esc_wall_ms,k,jobs,machines,n_res,n_live,closure,closure_frac,n_nodes,n_corridors
S10x5x5,1,RD,True,100.0,100.0,5.852,0.45,2,72,,99,,,,5,10,5,171,99,69,0.697,12,13
S10x5x5,777,R2,True,166.0,113.0,2.883,0.487,0,72,79,88,,,,5,10,5,160,88,79,0.898,12,13
S10x5x5,777,RS,True,170.0,113.0,1.393,0.55,0,72,,88,57.0,,,5,10,5,160,88,79,0.898,12,13
S10x5x5,777,RD,True,163.0,113.0,5.72,0.494,0,72,,88,,,,5,10,5,160,88,79,0.898,12,13
S10x5x5,31415,R2,True,160.0,98.0,5.023,0.536,0,68,104,115,,,,5,10,5,183,115,104,0.904,12,13
S10x5x5,31415,RS,True,157.0,98.0,1.573,0.628,0,68,,115,59.0,,,5,10,5,183,115,104,0.904,12,13
S10x5x5,31415,RD,True,151.0,98.0,7.273,0.645,3,68,,115,,,,5,10,5,183,115,104,0.904,12,13
S10x5x5,8,R2,True,138.0,101.0,3.127,0.447,0,77,87,102,,,,5,10,5,179,102,87,0.853,12,13
S10x5x5,8,RS,True,139.0,101.0,1.555,0.57,0,77,,102,38.0,,,5,10,5,179,102,87,0.853,12,13
S10x5x5,8,RD,True,116.0,101.0,6.453,0.581,2,77,,102,,,,5,10,5,179,102,87,0.853,12,13
S12x6x6,42,R2,True,115.0,115.0,4.286,0.181,0,95,126,142,,,,6,12,6,237,142,126,0.887,13,14
S12x6x6,42,RS,True,189.0,115.0,1.991,0.599,0,95,,142,74.0,,,6,12,6,237,142,126,0.887,13,14
S12x6x6,42,RD,True,129.25,115.0,11.236,0.603,1,95,,142,,,,6,12,6,237,142,126,0.887,13,14
S12x6x6,7,R2,True,159.0,104.0,3.958,0.425,0,76,99,152,,,,6,12,6,228,152,99,0.651,13,14
S12x6x6,7,RS,True,162.0,104.0,2.668,0.667,0,76,,152,58.0,,,6,12,6,228,152,99,0.651,13,14
S12x6x6,7,RD,True,146.0,104.0,14.083,0.667,0,76,,152,,,,6,12,6,228,152,99,0.651,13,14
S12x6x6,2024,R2,True,190.0,120.0,4.577,0.583,0,87,134,143,,,,6,12,6,230,143,134,0.937,13,14
S12x6x6,2024,RS,True,187.0,120.0,2.028,0.622,0,87,,143,67.0,,,6,12,6,230,143,134,0.937,13,14
S12x6x6,2024,RD,True,190.0,120.0,11.191,0.583,0,87,,143,,,,6,12,6,230,143,134,0.937,13,14
S12x6x6,99,R2,True,112.0,110.0,3.93,0.383,0,87,109,143,,,,6,12,6,230,143,109,0.762,13,14
S12x6x6,99,RS,True,181.0,110.0,2.197,0.622,0,87,,143,71.0,,,6,12,6,230,143,109,0.762,13,14
S12x6x6,99,RD,True,104.5,110.0,9.672,0.626,0,87,,143,,,,6,12,6,230,143,109,0.762,13,14
S12x6x6,123,R2,True,167.0,110.0,4.508,0.524,0,97,125,134,,,,6,12,6,231,134,125,0.933,13,14
S12x6x6,123,RS,True,169.0,110.0,2.342,0.58,0,97,,134,59.0,,,6,12,6,231,134,125,0.933,13,14
S12x6x6,123,RD,True,153.0,110.0,13.704,0.597,4,97,,134,,,,6,12,6,231,134,125,0.933,13,14
S12x6x6,13,R2,True,130.0,130.0,4.482,0.202,0,104,83,124,,,,6,12,6,228,124,83,0.669,13,14
S12x6x6,13,RS,True,207.0,130.0,1.974,0.544,0,104,,124,77.0,,,6,12,6,228,124,83,0.669,13,14
S12x6x6,13,RD,True,130.0,130.0,6.657,0.373,0,104,,124,,,,6,12,6,228,124,83,0.669,13,14
S12x6x6,1,R2,True,178.0,115.0,5.532,0.368,0,100,105,123,,,,6,12,6,223,123,105,0.854,13,14
S12x6x6,1,RS,True,178.0,115.0,2.088,0.552,0,100,,123,63.0,,,6,12,6,223,123,105,0.854,13,14
S12x6x6,1,RD,True,178.0,115.0,9.365,0.565,3,100,,123,,,,6,12,6,223,123,105,0.854,13,14
S12x6x6,777,R2,True,185.0,121.0,4.622,0.562,0,96,142,146,,,,6,12,6,242,146,142,0.973,13,14
S12x6x6,777,RS,True,183.0,121.0,2.017,0.603,0,96,,146,62.0,,,6,12,6,242,146,142,0.973,13,14
S12x6x6,777,RD,True,171.0,121.0,10.744,0.595,0,96,,146,,,,6,12,6,242,146,142,0.973,13,14
S12x6x6,31415,R2,True,182.0,119.0,4.322,0.462,0,98,107,125,,,,6,12,6,223,125,107,0.856,13,14
S12x6x6,31415,RS,True,185.0,119.0,2.704,0.561,0,98,,125,66.0,,,6,12,6,223,125,107,0.856,13,14
S12x6x6,31415,RD,True,167.0,119.0,10.592,0.561,2,98,,125,,,,6,12,6,223,125,107,0.856,13,14
S12x6x6,8,R2,True,134.0,134.0,4.961,0.175,0,101,76,122,,,,6,12,6,223,122,76,0.623,13,14
S12x6x6,8,RS,True,211.0,134.0,2.046,0.547,0,101,,122,77.0,,,6,12,6,223,122,76,0.623,13,14
S12x6x6,8,RD,True,129.9,134.0,8.831,0.538,0,101,,122,,,,6,12,6,223,122,76,0.623,13,14
S14x7x7,42,R2,True,129.1,126.0,6.929,0.616,0,105,180,189,,,,7,14,7,294,189,180,0.952,14,15
S14x7x7,42,RS,True,207.0,126.0,2.672,0.643,0,105,,189,81.0,,,7,14,7,294,189,180,0.952,14,15
S14x7x7,42,RD,True,126.1,126.0,12.926,0.643,0,105,,189,,,,7,14,7,294,189,180,0.952,14,15
S14x7x7,7,R2,True,119.0,119.0,5.984,0.17,0,112,126,158,,,,7,14,7,270,158,126,0.797,14,15
S14x7x7,7,RS,True,193.0,119.0,3.615,0.585,0,112,,158,74.0,,,7,14,7,270,158,126,0.797,14,15
S14x7x7,7,RD,True,120.65,119.0,14.604,0.53,0,112,,158,,,,7,14,7,270,158,126,0.797,14,15
S14x7x7,2024,R2,True,185.0,121.0,7.088,0.514,0,107,149,179,,,,7,14,7,286,179,149,0.832,14,15
S14x7x7,2024,RS,True,188.0,121.0,3.279,0.626,0,107,,179,67.0,,,7,14,7,286,179,149,0.832,14,15
S14x7x7,2024,RD,True,172.0,121.0,19.471,0.633,4,107,,179,,,,7,14,7,286,179,149,0.832,14,15
