instance,seed,disturb_type,disturb_class,expand_on_fail,corridor,miss_on_B,R1_release,R2_release,R1_feasible,R2_feasible,R1_makespan,R2_makespan,R1_wall_ms,R2_wall_ms,R2_covers_R1,quality_winner
example_3x3x2,42,corridor_block,B,False,c1|v0,True,0,16,False,True,57.0,86.0,0.45,1.31,True,R2
example_3x3x2,42,ra_failure,A,False,machine:2,False,18,18,,,,,,,True,n/a
