instance,seed,arm,feasible,makespan,makespan_ref,wall_ms,res_frac,past_changed,past_total,release_size,alive_size,delta
congested_8x4x4,8,R2,True,292.0,176.0,1.978,0.584,0,35,52,54,
congested_8x4x4,8,RS,True,292.0,176.0,0.956,0.607,0,35,,54,116.0
congested_8x4x4,8,RD,True,292.0,176.0,2.699,0.584,0,35,,54,
congested_8x4x4,8,RA,True,292.0,176.0,1.529,0.584,0,35,54,54,
S8x4x4_high,42,R2,True,162.0,109.0,2.653,0.5,0,50,79,90,
S8x4x4_high,42,RS,True,172.0,109.0,1.208,0.643,0,50,,90,63.0
S8x4x4_high,42,RD,True,154.0,109.0,4.183,0.643,0,50,,90,
S8x4x4_high,42,RA,True,162.0,109.0,2.684,0.536,0,50,90,90,
S8x4x4_high,7,R2,True,175.0,126.0,2.326,0.467,0,56,83,94,
S8x4x4_high,7,RS,True,183.0,126.0,1.233,0.627,0,56,,94,57.0
S8x4x4_high,7,RD,True,175.0,126.0,4.958,0.627,0,56,,94,
S8x4x4_high,7,RA,True,175.0,126.0,3.123,0.627,0,56,94,94,
S8x4x4_high,2024,R2,True,184.0,120.0,2.945,0.473,0,54,98,111,
S8x4x4_high,2024,RS,True,186.0,120.0,1.418,0.673,0,54,,111,66.0
S8x4x4_high,2024,RD,True,176.0,120.0,4.731,0.673,0,54,,111,
S8x4x4_high,2024,RA,True,184.0,120.0,3.435,0.673,0,54,111,111,
S8x4x4_high,99,R2,True,188.0,114.0,2.39,0.592,0,55,87,92,
S8x4x4_high,99,RS,True,188.0,114.0,1.363,0.626,0,55,,92,74.0
S8x4x4_high,99,RD,True,190.0,114.0,4.89,0.626,0,55,,92,
S8x4x4_high,99,RA,True,188.0,114.0,2.453,0.626,0,55,92,92,
S8x4x4_high,123,R2,True,165.0,115.0,2.552,0.517,0,61,82,86,
S8x4x4_high,123,RS,True,165.0,115.0,2.075,0.585,0,61,,86,50.0
S8x4x4_high,123,RD,True,159.0,115.0,4.224,0.585,0,61,,86,
S8x4x4_high,123,RA,True,165.0,115.0,2.327,0.585,0,61,86,86,
S8x4x4_high,13,R2,True,168.0,107.0,2.946,0.558,0,42,87,96,
S8x4x4_high,13,RS,True,170.0,107.0,1.22,0.696,0,42,,96,63.0
S8x4x4_high,13,RD,True,166.0,107.0,4.715,0.696,0,42,,96,
S8x4x4_high,13,RA,True,168.0,107.0,2.348,0.551,0,42,96,96,
S8x4x4_high,1,R2,True,194.0,124.0,3.037,0.639,0,57,101,101,
S8x4x4_high,1,RS,True,187.0,124.0,1.303,0.639,0,57,,101,63.0
S8x4x4_high,1,RD,True,194.0,124.0,3.574,0.639,0,57,,101,
S8x4x4_high,1,RA,True,194.0,124.0,2.688,0.639,0,57,101,101,
S8x4x4_high,777,R2,True,190.0,116.0,2.46,0.558,0,59,87,95,
S8x4x4_high,777,RS,True,189.0,116.0,1.324,0.617,0,59,,95,73.0
S8x4x4_high,777,RD,True,189.0,116.0,3.615,0.604,0,59,,95,
S8x4x4_high,777,RA,True,190.0,116.0,2.515,0.591,0,59,95,95,
S8x4x4_high,31415,R2,True,193.0,120.0,2.411,0.542,0,67,87,88,
S8x4x4_high,31415,RS,True,193.0,120.0,1.33,0.568,0,67,,88,73.0
S8x4x4_high,31415,RD,True,193.0,120.0,3.815,0.542,0,67,,88,
S8x4x4_high,31415,RA,True,193.0,120.0,3.437,0.542,0,67,88,88,
S8x4x4_high,8,R2,True,116.0,116.0,2.501,0.285,0,55,92,96,
S8x4x4_high,8,RS,True,190.0,116.0,1.333,0.636,0,55,,96,74.0
S8x4x4_high,8,RD,True,117.6,116.0,5.501,0.636,0,55,,96,
S8x4x4_high,8,RA,True,117.6,116.0,3.332,0.636,0,55,96,96,
S8x4x4_funnel,42,R2,True,174.0,110.0,3.223,0.566,0,49,85,94,
S8x4x4_funnel,42,RS,True,181.0,110.0,1.699,0.657,0,49,,94,71.0
S8x4x4_funnel,42,RD,True,164.0,110.0,3.653,0.657,0,49,,94,
S8x4x4_funnel,42,RA,True,174.0,110.0,2.246,0.636,0,49,94,94,
S8x4x4_funnel,7,R2,True,176.0,127.0,3.6,0.487,0,55,86,95,
S8x4x4_funnel,7,RS,True,185.0,127.0,1.282,0.633,0,55,,95,58.0
S8x4x4_funnel,7,RD,True,176.0,127.0,3.467,0.633,0,55,,95,
S8x4x4_funnel,7,RA,True,176.0,127.0,2.328,0.633,0,55,95,95,
S8x4x4_funnel,2024,R2,True,185.0,121.0,2.707,0.473,0,54,98,111,
S8x4x4_funnel,2024,RS,True,187.0,121.0,1.365,0.673,0,54,,111,66.0
S8x4x4_funnel,2024,RD,True,177.0,121.0,3.809,0.673,0,54,,111,
S8x4x4_funnel,2024,RA,True,185.0,121.0,3.212,0.673,0,54,111,111,
S8x4x4_funnel,99,R2,True,189.0,115.0,2.61,0.592,0,55,87,92,
S8x4x4_funnel,99,RS,True,189.0,115.0,2.233,0.626,0,55,,92,74.0
S8x4x4_funnel,99,RD,True,191.0,115.0,5.17,0.626,0,55,,92,
S8x4x4_funnel,99,RA,True,189.0,115.0,2.342,0.626,0,55,92,92,
S8x4x4_funnel,123,R2,True,161.0,119.0,4.525,0.5,0,60,79,86,
S8x4x4_funnel,123,RS,True,167.0,119.0,1.464,0.589,0,60,,86,48.0
S8x4x4_funnel,123,RD,True,161.0,119.0,3.688,0.582,0,60,,86,
S8x4x4_funnel,123,RA,True,161.0,119.0,2.237,0.582,0,60,86,86,
S8x4x4_funnel,13,R2,True,164.0,107.0,2.157,0.565,0,42,78,96,
S8x4x4_funnel,13,RS,True,165.0,107.0,1.193,0.696,0,42,,96,58.0
S8x4x4_funnel,13,RD,True,161.0,107.0,5.3,0.688,0,42,,96,
S8x4x4_funnel,13,RA,True,164.0,107.0,2.237,0.594,0,42,96,96,
S8x4x4_funnel,1,R2,True,195.0,125.0,3.282,0.646,0,56,101,102,
S8x4x4_funnel,1,RS,True,188.0,125.0,1.346,0.646,0,56,,102,63.0
S8x4x4_funnel,1,RD,True,195.0,125.0,3.608,0.646,0,56,,102,
S8x4x4_funnel,1,RA,True,195.0,125.0,3.743,0.646,0,56,102,102,
S8x4x4_funnel,777,R2,True,191.0,118.0,2.666,0.558,0,59,87,95,
S8x4x4_funnel,777,RS,True,191.0,118.0,1.467,0.617,0,59,,95,73.0
S8x4x4_funnel,777,RD,True,190.0,118.0,4.337,0.604,0,59,,95,
S8x4x4_funnel,777,RA,True,191.0,118.0,4.76,0.591,0,59,95,95,
S8x4x4_funnel,31415,R2,True,173.0,117.0,4.215,0.5,0,63,74,85,
S8x4x4_funnel,31415,RS,True,194.0,117.0,1.3,0.574,0,63,,85,77.0
S8x4x4_funnel,31415,RD,True,169.0,117.0,3.122,0.574,0,63,,85,
S8x4x4_funnel,31415,RA,True,173.0,117.0,2.364,0.574,0,63,85,85,
S8x4x4_funnel,8,R2,True,175.0,112.0,2.326,0.486,0,51,79,91,
S8x4x4_funnel,8,RS,True,184.0,112.0,1.209,0.641,0,51,,91,72.0
S8x4x4_funnel,8,RD,True,167.0,112.0,3.224,0.641,0,51,,91,
S8x4x4_funnel,8,RA,True,175.0,112.0,2.179,0.641,0,51,91,91,
S8x4x4_mid,42,R2,True,161.0,107.0,2.485,0.527,0,54,80,94,
S8x4x4_mid,42,RS,True,169.0,107.0,1.274,0.635,0,54,,94,62.0
S8x4x4_mid,42,RD,True,152.0,107.0,4.17,0.635,0,54,,94,
S8x4x4_mid,42,RA,True,161.0,107.0,4.433,0.574,0,54,94,94,
S8x4x4_mid,7,R2,True,172.0,122.0,2.982,0.538,0,63,88,93,
S8x4x4_mid,7,RS,True,179.0,122.0,2.898,0.596,0,63,,93,57.0
S8x4x4_mid,7,RD,True,174.0,122.0,5.481,0.596,0,63,,93,
S8x4x4_mid,7,RA,True,172.0,122.0,2.653,0.558,0,63,93,93,
S8x4x4_mid,2024,R2,True,162.0,105.0,5.204,0.464,0,55,83,96,
S8x4x4_mid,2024,RS,True,168.0,105.0,2.423,0.636,0,55,,96,63.0
S8x4x4_mid,2024,RD,True,166.0,105.0,6.885,0.636,0,55,,96,
S8x4x4_mid,2024,RA,True,162.0,105.0,4.251,0.636,0,55,96,96,
S8x4x4_mid,99,R2,True,174.0,106.0,3.34,0.566,0,59,81,86,
S8x4x4_mid,99,RS,True,174.0,106.0,1.337,0.593,0,59,,86,68.0
S8x4x4_mid,99,RD,True,171.0,106.0,3.899,0.593,0,59,,86,
S8x4x4_mid,99,RA,True,174.0,106.0,2.545,0.593,0,59,86,86,
S8x4x4_mid,123,R2,True,141.0,101.0,2.596,0.542,0,58,80,86,
S8x4x4_mid,123,RS,True,140.0,101.0,1.7,0.597,0,58,,86,39.0
S8x4x4_mid,123,RD,True,145.0,101.0,4.363,0.597,0,58,,86,
S8x4x4_mid,123,RA,True,141.0,101.0,2.489,0.576,0,58,86,86,
S8x4x4_mid,13,R2,True,156.0,102.0,2.998,0.575,0,43,83,91,
S8x4x4_mid,13,RS,True,159.0,102.0,1.384,0.679,0,43,,91,57.0
S8x4x4_mid,13,RD,True,157.0,102.0,4.849,0.642,0,43,,91,
S8x4x4_mid,13,RA,True,156.0,102.0,2.665,0.604,0,43,91,91,
S8x4x4_mid,1,R2,True,119.0,119.0,2.724,0.304,0,52,91,106,
S8x4x4_mid,1,RS,True,195.0,119.0,1.699,0.671,0,52,,106,76.0
S8x4x4_mid,1,RD,True,124.65,119.0,4.517,0.671,0,52,,106,
S8x4x4_mid,1,RA,True,120.65,119.0,3.033,0.671,0,52,106,106,
S8x4x4_mid,777,R2,True,110.15,109.0,2.357,0.541,0,58,84,88,
S8x4x4_mid,777,RS,True,178.0,109.0,1.287,0.603,0,58,,88,69.0
S8x4x4_mid,777,RD,True,127.0,109.0,3.147,0.562,0,58,,88,
S8x4x4_mid,777,RA,True,110.15,109.0,3.858,0.541,0,58,88,88,
S8x4x4_mid,31415,R2,True,103.0,103.0,2.275,0.178,0,61,73,85,
S8x4x4_mid,31415,RS,True,169.0,103.0,1.23,0.582,0,61,,85,66.0
S8x4x4_mid,31415,RD,True,103.05,103.0,3.635,0.582,0,61,,85,
S8x4x4_mid,31415,RA,True,103.05,103.0,2.473,0.582,0,61,85,85,
S8x4x4_mid,8,R2,True,161.0,105.0,2.399,0.534,0,57,85,91,
S8x4x4_mid,8,RS,True,157.0,105.0,1.266,0.615,0,57,,91,52.0
S8x4x4_mid,8,RD,True,163.0,105.0,5.473,0.615,0,57,,91,
S8x4x4_mid,8,RA,True,161.0,105.0,2.421,0.615,0,57,91,91,
