instance,seed,arm,budget,pop,max_gen,stall_gen,makespan,runtime_sec,generations,evaluations,stopped_by,valid,lower_bound
mfjs06-ideal,2,ideal,p100g1000s100,100,1000,100,716.0,3.899,120,12000,stall,True,622.0
mfjs06-ideal,3,ideal,p100g1000s100,100,1000,100,745.0,3.595,112,11200,stall,True,622.0
mfjs06-ideal,4,ideal,p100g1000s100,100,1000,100,690.0,4.729,135,13500,stall,True,622.0
mfjs06-ideal,5,ideal,p100g1000s100,100,1000,100,677.0,6.119,171,17100,stall,True,622.0
mfjs06-ideal,6,ideal,p100g1000s100,100,1000,100,745.0,3.593,104,10400,stall,True,622.0
mfjs06-ideal,7,ideal,p100g1000s100,100,1000,100,753.0,6.765,191,19100,stall,True,622.0
mfjs06-ideal,8,ideal,p100g1000s100,100,1000,100,690.0,7.419,221,22100,stall,True,622.0
mfjs06-ideal,9,ideal,p100g1000s100,100,1000,100,745.0,3.696,110,11000,stall,True,622.0
mfjs06-ideal,10,ideal,p100g1000s100,100,1000,100,718.0,4.32,123,12300,stall,True,622.0
mfjs07-ideal,1,ideal,p100g1000s100,100,1000,100,1060.0,9.526,217,21700,stall,True,772.0
mfjs07-ideal,2,ideal,p100g1000s100,100,1000,100,981.0,6.407,140,14000,stall,True,772.0
mfjs07-ideal,3,ideal,p100g1000s100,100,1000,100,1017.0,13.764,301,30100,stall,True,772.0
mfjs07-ideal,4,ideal,p100g1000s100,100,1000,100,1004.0,7.333,163,16300,stall,True,772.0
mfjs07-ideal,5,ideal,p100g1000s100,100,1000,100,1018.0,8.747,171,17100,stall,True,772.0
mfjs07-ideal,6,ideal,p100g1000s100,100,1000,100,1036.0,5.78,127,12700,stall,True,772.0
mfjs07-ideal,7,ideal,p100g1000s100,100,1000,100,996.0,10.082,219,21900,stall,True,772.0
mfjs07-ideal,8,ideal,p100g1000s100,100,1000,100,937.0,11.466,232,23200,stall,True,772.0
mfjs07-ideal,9,ideal,p100g1000s100,100,1000,100,965.0,7.784,168,16800,stall,True,772.0
mfjs07-ideal,10,ideal,p100g1000s100,100,1000,100,1043.0,10.523,242,24200,stall,True,772.0
mfjs08-ideal,1,ideal,p100g1000s100,100,1000,100,1059.0,10.542,202,20200,stall,True,770.0
mfjs08-ideal,2,ideal,p100g1000s100,100,1000,100,1010.0,9.146,169,16900,stall,True,770.0
mfjs08-ideal,3,ideal,p100g1000s100,100,1000,100,1029.0,9.584,176,17600,stall,True,770.0
mfjs08-ideal,4,ideal,p100g1000s100,100,1000,100,978.0,9.981,183,18300,stall,True,770.0
mfjs08-ideal,5,ideal,p100g1000s100,100,1000,100,1136.0,5.602,105,10500,stall,True,770.0
mfjs08-ideal,6,ideal,p100g1000s100,100,1000,100,970.0,10.359,184,18400,stall,True,770.0
mfjs08-ideal,7,ideal,p100g1000s100,100,1000,100,995.0,10.14,188,18800,stall,True,770.0
mfjs08-ideal,8,ideal,p100g1000s100,100,1000,100,1041.0,13.206,253,25300,stall,True,770.0
mfjs08-ideal,9,ideal,p100g1000s100,100,1000,100,997.0,7.766,149,14900,stall,True,770.0
mfjs08-ideal,10,ideal,p100g1000s100,100,1000,100,989.0,13.785,262,26200,stall,True,770.0
mfjs09-ideal,1,ideal,p100g1000s100,100,1000,100,1204.0,14.803,224,22400,stall,True,770.0
mfjs09-ideal,2,ideal,p100g1000s100,100,1000,100,1248.0,13.496,210,21000,stall,True,770.0
