instance,seed,num_machines,n_nodes,n_corridors,lu_min_cut,far_group_cut,funnel_share,corridors_per_node,blocked_on_cut,corridor,n_hits,makespan,n_reservations,n_alive,n_seeds,n_closure,closure_frac,closure_frac_alive
LyuL6_8m,99,8,25,38,2,2,0.0,1.52,True,g1|g2,9,141.0,138,86,9,52,0.3768,0.6047
LyuL6_8m,123,8,25,38,2,2,0.0,1.52,True,g1|g2,9,155.0,164,103,9,75,0.4573,0.7282
LyuL6_8m,13,8,25,38,2,2,0.0,1.52,True,g1|g2,9,148.0,140,83,9,64,0.4571,0.7711
LyuL6_8m,1,8,25,38,2,2,0.0,1.52,True,g1|g2,8,141.0,138,88,8,63,0.4565,0.7159
LyuL6_8m,777,8,25,38,2,2,0.0,1.52,True,g1|g2,8,130.0,132,89,8,66,0.5,0.7416
LyuL6_8m,31415,8,25,38,2,2,0.0,1.52,True,g1|g2,8,143.0,134,80,8,61,0.4552,0.7625
LyuL6_8m,8,8,25,38,2,2,0.0,1.52,True,g1|g2,7,143.0,148,88,7,70,0.473,0.7955
self_high_LD21,42,4,10,10,2,1,0.2857,1.0,True,e1|v0,13,109.0,140,90,13,64,0.4571,0.7111
self_high_LD21,7,4,10,10,2,1,0.2857,1.0,True,e1|v0,14,126.0,150,94,14,86,0.5733,0.9149
self_high_LD21,2024,4,10,10,2,1,0.2857,1.0,True,e1|v0,12,120.0,165,111,12,89,0.5394,0.8018
self_high_LD21,99,4,10,10,2,1,0.2857,1.0,True,e1|v0,13,114.0,147,92,13,59,0.4014,0.6413
self_high_LD21,123,4,10,10,2,1,0.2857,1.0,True,e1|v0,12,115.0,147,86,12,47,0.3197,0.5465
self_high_LD21,13,4,10,10,2,1,0.2857,1.0,True,e1|v0,15,107.0,138,96,15,74,0.5362,0.7708
self_high_LD21,1,4,10,10,2,1,0.2857,1.0,True,e1|v0,13,124.0,158,101,13,68,0.4304,0.6733
self_high_LD21,777,4,10,10,2,1,0.2857,1.0,True,e1|v0,11,116.0,154,95,11,87,0.5649,0.9158
self_high_LD21,31415,4,10,10,2,1,0.2857,1.0,True,e1|v0,12,120.0,155,88,12,69,0.4452,0.7841
self_high_LD21,8,4,10,10,2,1,0.2857,1.0,True,e1|v0,15,116.0,151,96,15,91,0.6026,0.9479
self_funnel_LD11,42,4,9,8,1,1,0.2857,0.8889,True,e1|v0,15,110.0,143,94,15,67,0.4685,0.7128
self_funnel_LD11,7,4,9,8,1,1,0.2857,0.8889,True,e1|v0,14,127.0,150,95,14,86,0.5733,0.9053
self_funnel_LD11,2024,4,9,8,1,1,0.2857,0.8889,True,e1|v0,13,121.0,165,111,13,89,0.5394,0.8018
self_funnel_LD11,99,4,9,8,1,1,0.2857,0.8889,True,e1|v0,13,115.0,147,92,13,59,0.4014,0.6413
self_funnel_LD11,123,4,9,8,1,1,0.2857,0.8889,True,e1|v0,12,119.0,146,86,12,38,0.2603,0.4419
self_funnel_LD11,13,4,9,8,1,1,0.2857,0.8889,True,e1|v0,16,107.0,138,96,16,74,0.5362,0.7708
self_funnel_LD11,1,4,9,8,1,1,0.2857,0.8889,True,e1|v0,14,125.0,158,102,14,68,0.4304,0.6667
self_funnel_LD11,777,4,9,8,1,1,0.2857,0.8889,True,e1|v0,14,118.0,154,95,14,87,0.5649,0.9158
self_funnel_LD11,31415,4,9,8,1,1,0.2857,0.8889,True,e1|v0,14,117.0,148,85,14,66,0.4459,0.7765
self_funnel_LD11,8,4,9,8,1,1,0.2857,0.8889,True,e1|v0,14,112.0,142,91,14,73,0.5141,0.8022
self_mid_LD22,42,4,11,12,2,2,0.2857,1.0909,True,e1|v0,13,107.0,148,94,13,64,0.4324,0.6809
self_mid_LD22,7,4,11,12,2,2,0.2857,1.0909,True,e1|v0,12,122.0,156,93,12,36,0.2308,0.3871
self_mid_LD22,2024,4,11,12,2,2,0.2857,1.0909,True,e1|v0,11,105.0,151,96,11,57,0.3775,0.5938
self_mid_LD22,99,4,11,12,2,2,0.2857,1.0909,True,e1|v0,11,106.0,145,86,11,35,0.2414,0.407
self_mid_LD22,123,4,11,12,2,2,0.2857,1.0909,True,e1|v0,11,101.0,144,86,11,38,0.2639,0.4419
self_mid_LD22,13,4,11,12,2,2,0.2857,1.0909,True,e1|v0,13,102.0,134,91,13,74,0.5522,0.8132
self_mid_LD22,1,4,11,12,2,2,0.2857,1.0909,True,e1|v0,16,119.0,158,106,16,84,0.5316,0.7925
self_mid_LD22,777,4,11,12,2,2,0.2857,1.0909,True,e1|v0,14,109.0,146,88,14,80,0.5479,0.9091
self_mid_LD22,31415,4,11,12,2,2,0.2857,1.0909,True,e1|v0,13,103.0,146,85,13,67,0.4589,0.7882
self_mid_LD22,8,4,11,12,2,2,0.2857,1.0909,True,e1|v0,13,105.0,148,91,13,86,0.5811,0.9451
