instance,seed,corridor,structural_leaks,feasible,makespan,ref_makespan,wall_ms,outside_changes,pass_E2a,pass_E2b
example_3x3x2,42,c1|v0,0,True,86.0,57.0,0.69,0,True,True
example_3x3x2,7,c2|r2,0,True,82.0,52.0,0.59,2,True,False
congested_8x4x4,42,c1|c2,0,True,298.0,179.0,1.68,1,True,False
congested_8x4x4,7,c1|c2,0,True,300.0,180.0,2.09,1,True,False
S8x4x4_high,42,h1|r1,0,True,162.0,109.0,2.42,0,True,True
S8x4x4_high,7,h1|r1,0,True,175.0,126.0,2.25,5,True,False
S8x4x4_funnel,42,e1|h1,0,True,177.0,110.0,3.17,5,True,False
S8x4x4_funnel,7,h1|r1,0,True,176.0,127.0,2.63,5,True,False
S8x4x4_mid,42,h1|r1,0,True,163.0,107.0,2.26,2,True,False
S8x4x4_mid,7,h1|r1,0,True,172.0,122.0,2.52,5,True,False
