instance,seed,arm,budget,pop,max_gen,stall_gen,makespan,runtime_sec,generations,evaluations,stopped_by,valid,lower_bound
mfjs06-ideal,4,ideal,p100g200s30,100,200,30,690.0,2.378,65,6500,stall,True,622.0
mfjs06-ideal,5,ideal,p100g200s30,100,200,30,677.0,3.724,101,10100,stall,True,622.0
mfjs06-ideal,6,ideal,p100g200s30,100,200,30,745.0,1.222,34,3400,stall,True,622.0
mfjs06-ideal,7,ideal,p100g200s30,100,200,30,774.0,1.656,48,4800,stall,True,622.0
mfjs06-ideal,8,ideal,p100g200s30,100,200,30,745.0,1.445,43,4300,stall,True,622.0
mfjs06-ideal,9,ideal,p100g200s30,100,200,30,745.0,1.463,40,4000,stall,True,622.0
mfjs06-ideal,10,ideal,p100g200s30,100,200,30,718.0,1.895,53,5300,stall,True,622.0
mfjs07-ideal,1,ideal,p100g200s30,100,200,30,1070.0,2.354,51,5100,stall,True,772.0
mfjs07-ideal,2,ideal,p100g200s30,100,200,30,981.0,3.374,70,7000,stall,True,772.0
mfjs07-ideal,3,ideal,p100g200s30,100,200,30,1049.0,3.038,63,6300,stall,True,772.0
mfjs07-ideal,4,ideal,p100g200s30,100,200,30,1004.0,4.438,93,9300,stall,True,772.0
mfjs07-ideal,5,ideal,p100g200s30,100,200,30,1018.0,4.956,101,10100,stall,True,772.0
mfjs07-ideal,6,ideal,p100g200s30,100,200,30,1036.0,2.659,57,5700,stall,True,772.0
mfjs07-ideal,7,ideal,p100g200s30,100,200,30,1014.0,3.971,86,8600,stall,True,772.0
mfjs07-ideal,8,ideal,p100g200s30,100,200,30,1045.0,2.476,52,5200,stall,True,772.0
mfjs07-ideal,9,ideal,p100g200s30,100,200,30,965.0,4.574,98,9800,stall,True,772.0
mfjs07-ideal,10,ideal,p100g200s30,100,200,30,1051.0,4.35,96,9600,stall,True,772.0
mfjs08-ideal,1,ideal,p100g200s30,100,200,30,1059.0,7.213,132,13200,stall,True,770.0
mfjs08-ideal,2,ideal,p100g200s30,100,200,30,1010.0,5.551,99,9900,stall,True,770.0
mfjs08-ideal,3,ideal,p100g200s30,100,200,30,1029.0,5.427,106,10600,stall,True,770.0
