layout,size,symmetric,closure_violations,max_excess,digraph_reconstructible,corridor_reconstructible
2-M,3,False,0,0.0,True,False
3-M,4,False,2,4.0,False,False
4-M,5,False,0,0.0,True,False
5-M,6,False,0,0.0,True,False
6-M,7,False,0,0.0,True,False
7-M,8,False,16,6.0,False,False
8-M,9,False,0,0.0,True,False
