instance,seed,dist_type,dist_class,n_alive,n_T_impact,n_R1_release,n_seeds,n_closure,closure_frac,R1_empty,R2_covers_R1,R2_strictly_larger
S8x4x4_mid,123,agv_breakdown,A,86,6,32,26,79,0.9186,False,True,True
S8x4x4_mid,123,ra_failure,A,86,12,45,57,82,0.9535,False,True,True
S8x4x4_mid,13,corridor_block,B,91,0,0,15,82,0.9011,True,True,True
S8x4x4_mid,13,corridor_slowdown,B,91,0,0,15,82,0.9011,True,True,True
S8x4x4_mid,13,agv_breakdown,A,91,8,38,27,74,0.8132,False,True,True
S8x4x4_mid,13,ra_failure,A,91,13,44,44,85,0.9341,False,True,True
S8x4x4_mid,1,corridor_block,B,106,0,0,16,87,0.8208,True,True,True
S8x4x4_mid,1,corridor_slowdown,B,106,0,0,16,87,0.8208,True,True,True
S8x4x4_mid,1,agv_breakdown,A,106,8,47,31,81,0.7642,False,True,True
S8x4x4_mid,1,ra_failure,A,106,12,57,70,89,0.8396,False,True,True
S8x4x4_mid,777,corridor_block,B,88,0,0,14,82,0.9318,True,True,True
S8x4x4_mid,777,corridor_slowdown,B,88,0,0,14,82,0.9318,True,True,True
S8x4x4_mid,777,agv_breakdown,A,88,9,46,25,75,0.8523,False,True,True
S8x4x4_mid,777,ra_failure,A,88,15,68,82,85,0.9659,False,True,True
S8x4x4_mid,31415,corridor_block,B,85,0,0,13,67,0.7882,True,True,True
S8x4x4_mid,31415,corridor_slowdown,B,85,0,0,13,67,0.7882,True,True,True
S8x4x4_mid,31415,agv_breakdown,A,85,4,27,27,27,0.3176,False,True,False
S8x4x4_mid,31415,ra_failure,A,85,12,55,55,74,0.8706,False,True,True
S8x4x4_mid,8,corridor_block,B,91,0,0,15,85,0.9341,True,True,True
S8x4x4_mid,8,corridor_slowdown,B,91,0,0,15,85,0.9341,True,True,True
S8x4x4_mid,8,agv_breakdown,A,91,10,59,28,87,0.956,False,True,True
S8x4x4_mid,8,ra_failure,A,91,15,65,65,89,0.978,False,True,True
