regime,p_loss,feasible,t_hb_s,r_misses,detect_delay_s,bandwidth_bps,pbft_ratio,binding,r_at_0.2s_indep,r_at_0.2s_burst
motion_indep,0.001,True,0.29474554197737024,2,0.5994910839547405,1519.9551348410089,660.2300140293092,safety,2,2
motion_indep,0.005,True,0.19383650302506691,3,0.5915095090752007,2311.226177775528,434.1937667761499,safety,3,3
motion_indep,0.01,True,0.19383650302506691,3,0.5915095090752007,2311.226177775528,434.1937667761499,safety,3,3
motion_indep,0.02,True,0.14565878873555138,4,0.5926351549422055,3075.681212847099,326.2756867676351,safety,4,4
motion_indep,0.05,True,0.11589310444494802,5,0.5894655222247401,3865.6311964859883,259.60055395668354,safety,5,5
motion_indep,0.1,True,0.08383245958562809,7,0.5968272170993966,5343.992079134982,187.7847094718069,safety,6,6
motion_indep,0.2,True,0.06544249560344187,9,0.5989824604309768,6845.704704091969,146.59119015170978,safety,9,9
motion_indep,0.5,True,0.026731093203701654,22,0.5980840504814364,16759.509107467482,59.87764877629171,safety,19,19
motion_burst,0.001,True,0.08383245958562809,7,0.5968272170993966,5343.992079134982,187.7847094718069,safety,2,7
motion_burst,0.005,True,0.06544249560344187,9,0.5989824604309768,6845.704704091969,146.59119015170978,safety,3,8
motion_burst,0.01,True,0.058374114237417916,10,0.5937411423741792,7674.634653605264,130.75801589181614,safety,3,9
motion_burst,0.02,True,0.05307060187644688,11,0.5937766206409157,8441.585061405262,118.87814820324101,safety,4,9
motion_burst,0.05,True,0.04824893397222553,12,0.5889872076667064,9285.179238527651,108.07761209778519,safety,5,11
motion_burst,0.1,True,0.04142873353756161,14,0.5900022695258625,10813.750789505022,92.800363124138,safety,6,12
motion_burst,0.2,True,0.03234069149097038,18,0.5921324468374669,13852.517659527564,72.44314893977365,safety,9,16
motion_burst,0.5,True,0.016289659584602573,36,0.5964277450456926,27502.109400951616,36.48883746950976,safety,19,30
