instance,tag,het,protocol,theta,seed,makespan,runtime_sec,evaluations,ls_evaluations,decodes,ms_per_eval,ms_per_decode,generations,stopped_by,price_slots,entry_options,budget_sec,valid
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.05,8191,76.0,61.06,960,660,1620,63.604,37.691,16,budget,12,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,42,74.0,62.72,960,729,1689,65.333,37.134,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,7,74.0,63.46,960,728,1688,66.104,37.595,16,budget,7,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,2024,79.0,63.36,900,673,1573,70.4,40.28,15,budget,12,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,13,75.0,61.75,960,695,1655,64.323,37.311,16,budget,9,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,99,75.0,61.99,960,667,1627,64.573,38.101,16,budget,9,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,314,73.0,61.79,900,669,1569,68.656,39.382,15,budget,13,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,2718,79.0,63.3,960,681,1641,65.938,38.574,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,1618,74.0,62.06,960,648,1608,64.646,38.595,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,577,72.0,61.16,900,698,1598,67.956,38.273,15,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.1,8191,76.0,60.85,960,660,1620,63.385,37.562,16,budget,12,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,42,74.0,62.75,960,729,1689,65.365,37.152,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,7,74.0,63.72,960,728,1688,66.375,37.749,16,budget,7,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,2024,79.0,63.63,900,673,1573,70.7,40.451,15,budget,12,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,13,75.0,61.54,960,677,1637,64.104,37.593,16,budget,9,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,99,75.0,62.55,960,667,1627,65.156,38.445,16,budget,9,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,314,73.0,60.7,900,669,1569,67.444,38.687,15,budget,13,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,2718,79.0,61.8,960,681,1641,64.375,37.66,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,1618,74.0,62.56,960,648,1608,65.167,38.905,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,577,72.0,64.16,960,740,1700,66.833,37.741,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.15,8191,76.0,60.81,960,660,1620,63.344,37.537,16,budget,12,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,42,74.0,63.02,960,729,1689,65.646,37.312,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,7,74.0,63.67,960,728,1688,66.323,37.719,16,budget,7,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,2024,79.0,63.59,900,673,1573,70.656,40.426,15,budget,12,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,13,75.0,61.9,960,677,1637,64.479,37.813,16,budget,9,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,99,75.0,62.38,960,667,1627,64.979,38.341,16,budget,9,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,314,73.0,62.14,900,669,1569,69.044,39.605,15,budget,13,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,2718,79.0,62.98,960,681,1641,65.604,38.379,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,1618,74.0,62.15,960,648,1608,64.74,38.65,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,577,72.0,60.68,900,698,1598,67.422,37.972,15,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.3,8191,76.0,60.86,960,660,1620,63.396,37.568,16,budget,12,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,42,74.0,62.87,960,729,1689,65.49,37.223,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,7,74.0,63.87,960,728,1688,66.531,37.838,16,budget,7,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,2024,79.0,63.74,900,673,1573,70.822,40.521,15,budget,12,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,13,75.0,61.79,960,677,1637,64.365,37.746,16,budget,9,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,99,85.0,62.44,960,665,1625,65.042,38.425,16,budget,14,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,314,73.0,61.81,900,669,1569,68.678,39.395,15,budget,13,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,2718,79.0,62.06,960,681,1641,64.646,37.818,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,1618,75.0,62.56,960,648,1608,65.167,38.905,16,budget,9,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,577,72.0,64.28,960,740,1700,66.958,37.812,16,budget,11,3,60.66,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,wallclock,0.5,8191,76.0,61.02,960,660,1620,63.562,37.667,16,budget,12,3,60.66,1
